exp_name,srx,srr
KD6_seq1_essential_mRNA_lane_48_S96_L004,SRX15390215,SRR19330512
KD6_seq1_essential_mRNA_lane_48_S96_L001,SRX15390216,SRR19330511
KD6_seq1_essential_mRNA_lane_48_S96_L002,SRX15390217,SRR19330510
KD6_seq1_essential_mRNA_lane_48_S96_L003,SRX15390218,SRR19330509
KD6_seq1_essential_mRNA_lane_48_S72_L002,SRX15390219,SRR19330508
KD6_seq1_essential_mRNA_lane_48_S72_L003,SRX15390220,SRR19330507
KD6_seq1_essential_sgRNA_lane_5_S5_L003,SRX15390221,SRR19330506
KD6_seq1_essential_mRNA_lane_48_S72_L001,SRX15390222,SRR19330505
KD6_seq1_essential_mRNA_lane_48_S72_L004,SRX15390223,SRR19330504
KD6_seq1_essential_sgRNA_lane_48_S48_L004,SRX15390224,SRR19330503
KD6_seq1_essential_sgRNA_lane_48_S48_L001,SRX15390225,SRR19330502
KD8_seq2_p1_sgRNA_3_S4_L003,SRX15390226,SRR19330501
KD6_seq1_essential_mRNA_lane_6_S30_L003,SRX15390227,SRR19330500
KD8_seq1_p1_mRNA_4_S5_L001,SRX15390228,SRR19330499
KD8_seq1_p1_mRNA_4_S5_L002,SRX15390229,SRR19330498
KD8_seq1_p1_mRNA_4_S5_L003,SRX15390230,SRR19330497
KD8_seq1_p1_mRNA_4_S5_L004,SRX15390231,SRR19330496
KD8_seq2_p1_mRNA_4_S5_L004,SRX15390232,SRR19330495
KD8_seq2_p1_mRNA_4_S5_L002,SRX15390233,SRR19330494
KD8_seq2_p1_mRNA_4_S5_L003,SRX15390234,SRR19330493
KD8_seq2_p1_mRNA_4_S5_L001,SRX15390235,SRR19330492
KD8_seq1_p1_sgRNA_4_S5_L002,SRX15390236,SRR19330491
KD8_seq1_p1_sgRNA_4_S5_L003,SRX15390237,SRR19330490
KD6_seq1_essential_mRNA_lane_6_S30_L002,SRX15390238,SRR19330489
KD8_seq1_p1_sgRNA_4_S5_L001,SRX15390239,SRR19330488
KD8_seq1_p1_sgRNA_4_S5_L004,SRX15390240,SRR19330487
KD8_seq2_p1_sgRNA_4_S5_L004,SRX15390241,SRR19330486
KD8_seq2_p1_sgRNA_4_S5_L001,SRX15390242,SRR19330485
KD8_seq2_p1_sgRNA_4_S5_L003,SRX15390243,SRR19330484
KD8_seq2_p1_sgRNA_4_S5_L002,SRX15390244,SRR19330483
KD8_seq1_p1_mRNA_5_S6_L003,SRX15390245,SRR19330482
KD8_seq1_p1_mRNA_5_S6_L002,SRX15390246,SRR19330481
KD8_seq1_p1_mRNA_5_S6_L001,SRX15390247,SRR19330480
KD8_seq1_p1_mRNA_5_S6_L004,SRX15390248,SRR19330479
KD6_seq1_essential_mRNA_lane_6_S30_L001,SRX15390249,SRR19330478
KD8_seq2_p1_mRNA_9_S10_L002,SRX15390250,SRR19330477
KD8_seq2_p1_mRNA_9_S10_L003,SRX15390251,SRR19330476
KD8_seq2_p1_mRNA_9_S10_L004,SRX15390252,SRR19330475
KD8_seq1_p1_sgRNA_9_S10_L004,SRX15390253,SRR19330474
KD8_seq1_p1_sgRNA_9_S10_L001,SRX15390254,SRR19330473
KD6_seq1_essential_mRNA_lane_7_S55_L001,SRX15390255,SRR19330472
KD8_seq1_p1_sgRNA_9_S10_L003,SRX15390256,SRR19330471
KD8_seq1_p1_sgRNA_9_S10_L002,SRX15390257,SRR19330470
KD8_seq2_p1_sgRNA_9_S10_L001,SRX15390258,SRR19330469
KD8_seq2_p1_sgRNA_9_S10_L003,SRX15390259,SRR19330468
KD8_seq2_p1_sgRNA_9_S10_L002,SRX15390260,SRR19330467
KD8_seq2_p1_sgRNA_9_S10_L004,SRX15390261,SRR19330466
KD8_seq1_p1_mRNA_10_S11_L002,SRX15390262,SRR19330465
KD8_seq1_p1_mRNA_10_S11_L003,SRX15390263,SRR19330464
KD8_seq1_p1_mRNA_10_S11_L001,SRX15390264,SRR19330463
KD8_seq1_p1_mRNA_10_S11_L004,SRX15390265,SRR19330462
KD6_seq1_essential_mRNA_lane_7_S55_L002,SRX15390266,SRR19330461
KD8_seq2_p1_mRNA_10_S11_L002,SRX15390267,SRR19330460
KD8_seq2_p1_mRNA_10_S11_L003,SRX15390268,SRR19330459
KD8_seq2_p1_mRNA_10_S11_L001,SRX15390269,SRR19330458
KD8_seq2_p1_mRNA_10_S11_L004,SRX15390270,SRR19330457
KD8_seq1_p1_sgRNA_10_S11_L004,SRX15390271,SRR19330456
KD8_seq1_p1_sgRNA_10_S11_L001,SRX15390272,SRR19330455
KD8_seq1_p1_sgRNA_10_S11_L002,SRX15390273,SRR19330454
KD8_seq1_p1_mRNA_12_S13_L003,SRX15390274,SRR19330453
KD6_seq1_essential_mRNA_lane_7_S31_L003,SRX15390275,SRR19330452
KD8_seq1_p1_mRNA_12_S13_L002,SRX15390276,SRR19330451
KD8_seq1_p1_mRNA_12_S13_L004,SRX15390277,SRR19330450
KD8_seq2_p1_mRNA_12_S13_L004,SRX15390278,SRR19330449
KD8_seq2_p1_mRNA_12_S13_L001,SRX15390279,SRR19330448
KD8_seq2_p1_mRNA_12_S13_L003,SRX15390280,SRR19330447
KD8_seq2_p1_mRNA_12_S13_L002,SRX15390281,SRR19330446
KD8_seq1_p1_sgRNA_12_S13_L001,SRX15390282,SRR19330445
KD8_seq1_p1_sgRNA_12_S13_L002,SRX15390283,SRR19330444
KD8_seq1_p1_sgRNA_12_S13_L003,SRX15390284,SRR19330443
KD8_seq1_p1_sgRNA_12_S13_L004,SRX15390285,SRR19330442
KD6_seq1_essential_mRNA_lane_7_S31_L002,SRX15390286,SRR19330441
KD8_seq2_p1_sgRNA_12_S13_L001,SRX15390287,SRR19330440
KD8_seq2_p1_sgRNA_12_S13_L003,SRX15390288,SRR19330439
KD8_seq2_p1_sgRNA_12_S13_L002,SRX15390289,SRR19330438
KD8_seq2_p1_sgRNA_12_S13_L004,SRX15390290,SRR19330437
KD8_seq1_p1_mRNA_13_S14_L002,SRX15390291,SRR19330436
KD8_seq1_p1_mRNA_13_S14_L003,SRX15390292,SRR19330435
KD8_seq1_p1_mRNA_13_S14_L001,SRX15390293,SRR19330434
KD8_seq1_p1_mRNA_13_S14_L004,SRX15390294,SRR19330433
KD8_seq2_p1_mRNA_13_S14_L004,SRX15390295,SRR19330432
KD8_seq2_p1_mRNA_13_S14_L002,SRX15390296,SRR19330431
KD6_seq1_essential_mRNA_lane_7_S31_L004,SRX15390297,SRR19330430
KD8_seq1_p1_sgRNA_14_S15_L004,SRX15390298,SRR19330429
KD8_seq2_p1_sgRNA_14_S15_L001,SRX15390299,SRR19330428
KD8_seq2_p1_sgRNA_14_S15_L003,SRX15390300,SRR19330427
KD8_seq2_p1_sgRNA_14_S15_L002,SRX15390301,SRR19330426
KD8_seq2_p1_sgRNA_14_S15_L004,SRX15390302,SRR19330425
KD8_seq1_p1_mRNA_15_S16_L004,SRX15390303,SRR19330424
KD8_seq1_p1_mRNA_15_S16_L003,SRX15390304,SRR19330423
KD8_seq1_p1_mRNA_15_S16_L002,SRX15390305,SRR19330422
KD8_seq1_p1_mRNA_15_S16_L001,SRX15390306,SRR19330421
KD6_seq1_essential_sgRNA_lane_7_S7_L001,SRX15390307,SRR19330420
KD8_seq2_p1_mRNA_15_S16_L003,SRX15390308,SRR19330419
KD8_seq2_p1_mRNA_15_S16_L002,SRX15390309,SRR19330418
KD8_seq2_p1_mRNA_15_S16_L001,SRX15390310,SRR19330417
KD8_seq2_p1_mRNA_15_S16_L004,SRX15390311,SRR19330416
KD8_seq1_p1_sgRNA_15_S16_L004,SRX15390312,SRR19330415
KD8_seq1_p1_sgRNA_15_S16_L002,SRX15390313,SRR19330414
KD8_seq1_p1_sgRNA_15_S16_L003,SRX15390314,SRR19330413
KD8_seq1_p1_sgRNA_15_S16_L001,SRX15390315,SRR19330412
KD8_seq2_p1_sgRNA_15_S16_L004,SRX15390316,SRR19330411
KD8_seq2_p1_sgRNA_15_S16_L003,SRX15390317,SRR19330410
KD6_seq1_essential_sgRNA_lane_7_S7_L004,SRX15390318,SRR19330409
KD8_seq2_p1_sgRNA_15_S16_L002,SRX15390319,SRR19330408
KD8_seq2_p1_sgRNA_15_S16_L001,SRX15390320,SRR19330407
KD8_seq1_p1_mRNA_16_S17_L004,SRX15390321,SRR19330406
KD8_seq1_p1_mRNA_20_S21_L003,SRX15390322,SRR19330405
KD6_seq1_essential_sgRNA_lane_1_S1_L001,SRX15390323,SRR19330404
KD6_seq1_essential_mRNA_lane_8_S32_L003,SRX15390324,SRR19330403
KD8_seq2_p1_mRNA_20_S21_L004,SRX15390325,SRR19330402
KD8_seq2_p1_mRNA_20_S21_L001,SRX15390326,SRR19330401
KD8_seq2_p1_mRNA_20_S21_L002,SRX15390327,SRR19330400
KD8_seq2_p1_mRNA_20_S21_L003,SRX15390328,SRR19330399
KD8_seq1_p1_sgRNA_20_S21_L002,SRX15390329,SRR19330398
KD8_seq1_p1_sgRNA_20_S21_L003,SRX15390330,SRR19330397
KD8_seq1_p1_sgRNA_20_S21_L001,SRX15390331,SRR19330396
KD8_seq1_p1_sgRNA_20_S21_L004,SRX15390332,SRR19330395
KD8_seq2_p1_sgRNA_20_S21_L004,SRX15390333,SRR19330394
KD8_seq2_p1_sgRNA_20_S21_L001,SRX15390334,SRR19330393
KD6_seq1_essential_mRNA_lane_8_S32_L002,SRX15390335,SRR19330392
KD8_seq2_p1_sgRNA_20_S21_L003,SRX15390336,SRR19330391
KD6_seq1_essential_mRNA_lane_24_S72_L002,SRX15390337,SRR19330879
KD6_seq1_essential_mRNA_lane_24_S72_L003,SRX15390338,SRR19330878
KD6_seq1_essential_mRNA_lane_24_S72_L001,SRX15390339,SRR19330877
KD6_seq1_essential_mRNA_lane_3_S27_L003,SRX15390340,SRR19330876
KD6_seq1_essential_mRNA_lane_24_S48_L004,SRX15390341,SRR19330875
KD6_seq1_essential_mRNA_lane_24_S48_L001,SRX15390342,SRR19330874
KD6_seq1_essential_mRNA_lane_24_S48_L003,SRX15390343,SRR19330873
KD6_seq1_essential_mRNA_lane_24_S48_L002,SRX15390344,SRR19330872
KD6_seq1_essential_sgRNA_lane_24_S24_L004,SRX15390345,SRR19330871
KD6_seq1_essential_sgRNA_lane_24_S24_L001,SRX15390346,SRR19330870
KD6_seq1_essential_sgRNA_lane_24_S24_L003,SRX15390347,SRR19330869
KD6_seq1_essential_sgRNA_lane_24_S24_L002,SRX15390348,SRR19330868
KD6_seq1_essential_mRNA_lane_25_S73_L004,SRX15390349,SRR19330867
KD6_seq1_essential_mRNA_lane_25_S73_L001,SRX15390350,SRR19330866
KD6_seq1_essential_mRNA_lane_3_S27_L002,SRX15390351,SRR19330865
KD6_seq1_essential_mRNA_lane_25_S73_L002,SRX15390352,SRR19330864
KD6_seq1_essential_mRNA_lane_25_S73_L003,SRX15390353,SRR19330863
KD6_seq1_essential_mRNA_lane_25_S49_L004,SRX15390354,SRR19330862
KD6_seq1_essential_sgRNA_lane_30_S30_L002,SRX15390355,SRR19330861
KD6_seq1_essential_sgRNA_lane_30_S30_L001,SRX15390356,SRR19330860
KD6_seq1_essential_mRNA_lane_4_S52_L004,SRX15390357,SRR19330859
KD6_seq1_essential_mRNA_lane_31_S79_L003,SRX15390358,SRR19330858
KD6_seq1_essential_mRNA_lane_31_S79_L002,SRX15390359,SRR19330857
KD6_seq1_essential_mRNA_lane_31_S79_L001,SRX15390360,SRR19330856
KD6_seq1_essential_mRNA_lane_31_S79_L004,SRX15390361,SRR19330855
KD6_seq1_essential_mRNA_lane_31_S55_L003,SRX15390362,SRR19330854
KD6_seq1_essential_mRNA_lane_31_S55_L002,SRX15390363,SRR19330853
KD6_seq1_essential_mRNA_lane_31_S55_L001,SRX15390364,SRR19330852
KD6_seq1_essential_mRNA_lane_31_S55_L004,SRX15390365,SRR19330851
KD6_seq1_essential_sgRNA_lane_31_S31_L004,SRX15390366,SRR19330850
KD6_seq1_essential_sgRNA_lane_31_S31_L001,SRX15390367,SRR19330849
KD6_seq1_essential_mRNA_lane_4_S52_L003,SRX15390368,SRR19330848
KD6_seq1_essential_sgRNA_lane_31_S31_L003,SRX15390369,SRR19330847
KD6_seq1_essential_sgRNA_lane_31_S31_L002,SRX15390370,SRR19330846
KD6_seq1_essential_mRNA_lane_32_S80_L001,SRX15390371,SRR19330845
KD6_seq1_essential_mRNA_lane_32_S80_L003,SRX15390372,SRR19330844
KD6_seq1_essential_mRNA_lane_32_S80_L002,SRX15390373,SRR19330843
KD6_seq1_essential_mRNA_lane_32_S80_L004,SRX15390374,SRR19330842
KD6_seq1_essential_mRNA_lane_32_S56_L004,SRX15390375,SRR19330841
KD6_seq1_essential_mRNA_lane_32_S56_L001,SRX15390376,SRR19330840
KD6_seq1_essential_mRNA_lane_32_S56_L003,SRX15390377,SRR19330839
KD6_seq1_essential_mRNA_lane_32_S56_L002,SRX15390378,SRR19330838
KD6_seq1_essential_mRNA_lane_4_S52_L002,SRX15390379,SRR19330837
KD6_seq1_essential_sgRNA_lane_32_S32_L003,SRX15390380,SRR19330836
KD6_seq1_essential_sgRNA_lane_32_S32_L002,SRX15390381,SRR19330835
KD6_seq1_essential_sgRNA_lane_32_S32_L001,SRX15390382,SRR19330834
KD6_seq1_essential_sgRNA_lane_32_S32_L004,SRX15390383,SRR19330833
KD6_seq1_essential_mRNA_lane_33_S81_L003,SRX15390384,SRR19330832
KD6_seq1_essential_mRNA_lane_33_S81_L002,SRX15390385,SRR19330831
KD6_seq1_essential_mRNA_lane_33_S81_L001,SRX15390386,SRR19330830
KD6_seq1_essential_mRNA_lane_33_S81_L004,SRX15390387,SRR19330829
KD6_seq1_essential_mRNA_lane_33_S57_L004,SRX15390388,SRR19330828
KD6_seq1_essential_mRNA_lane_33_S57_L003,SRX15390389,SRR19330827
KD6_seq1_essential_mRNA_lane_4_S52_L001,SRX15390390,SRR19330826
KD6_seq1_essential_mRNA_lane_33_S57_L002,SRX15390391,SRR19330825
KD6_seq1_essential_mRNA_lane_33_S57_L001,SRX15390392,SRR19330824
KD6_seq1_essential_sgRNA_lane_33_S33_L001,SRX15390393,SRR19330823
KD6_seq1_essential_sgRNA_lane_33_S33_L003,SRX15390394,SRR19330822
KD6_seq1_essential_sgRNA_lane_33_S33_L002,SRX15390395,SRR19330821
KD6_seq1_essential_sgRNA_lane_33_S33_L004,SRX15390396,SRR19330820
KD6_seq1_essential_mRNA_lane_34_S82_L004,SRX15390397,SRR19330819
KD6_seq1_essential_mRNA_lane_34_S82_L001,SRX15390398,SRR19330818
KD6_seq1_essential_mRNA_lane_34_S82_L002,SRX15390399,SRR19330817
KD6_seq1_essential_mRNA_lane_34_S82_L003,SRX15390400,SRR19330816
KD6_seq1_essential_mRNA_lane_1_S25_L004,SRX15390401,SRR19330815
KD6_seq1_essential_mRNA_lane_4_S28_L004,SRX15390402,SRR19330814
KD6_seq1_essential_mRNA_lane_38_S86_L003,SRX15390403,SRR19330813
KD6_seq1_essential_mRNA_lane_38_S86_L002,SRX15390404,SRR19330812
KD6_seq1_essential_mRNA_lane_38_S86_L001,SRX15390405,SRR19330811
KD6_seq1_essential_mRNA_lane_38_S86_L004,SRX15390406,SRR19330810
KD6_seq1_essential_mRNA_lane_38_S62_L004,SRX15390407,SRR19330809
KD6_seq1_essential_mRNA_lane_38_S62_L001,SRX15390408,SRR19330808
KD6_seq1_essential_sgRNA_lane_4_S4_L002,SRX15390409,SRR19330807
KD6_seq1_essential_mRNA_lane_38_S62_L003,SRX15390410,SRR19330806
KD6_seq1_essential_mRNA_lane_38_S62_L002,SRX15390411,SRR19330805
KD6_seq1_essential_sgRNA_lane_38_S38_L002,SRX15390412,SRR19330804
KD6_seq1_essential_sgRNA_lane_38_S38_L003,SRX15390413,SRR19330803
KD6_seq1_essential_sgRNA_lane_38_S38_L001,SRX15390414,SRR19330802
KD6_seq1_essential_sgRNA_lane_38_S38_L004,SRX15390415,SRR19330801
KD6_seq1_essential_mRNA_lane_39_S87_L001,SRX15390416,SRR19330800
KD6_seq1_essential_mRNA_lane_39_S87_L003,SRX15390417,SRR19330799
KD6_seq1_essential_mRNA_lane_39_S87_L002,SRX15390418,SRR19330798
KD6_seq1_essential_mRNA_lane_39_S87_L004,SRX15390419,SRR19330797
KD6_seq1_essential_sgRNA_lane_4_S4_L003,SRX15390420,SRR19330796
KD6_seq1_essential_mRNA_lane_39_S63_L004,SRX15390421,SRR19330795
KD6_seq1_essential_mRNA_lane_39_S63_L003,SRX15390422,SRR19330794
KD6_seq1_essential_mRNA_lane_39_S63_L002,SRX15390423,SRR19330793
KD6_seq1_essential_mRNA_lane_39_S63_L001,SRX15390424,SRR19330792
KD6_seq1_essential_sgRNA_lane_39_S39_L001,SRX15390425,SRR19330791
KD6_seq1_essential_sgRNA_lane_39_S39_L002,SRX15390426,SRR19330790
